Mod:Item:MetaData, Localized Name
forestry:fence.gates.fireproof.giganteum:0, Giant Sequoia Fence Gate (Fireproof)
forestry:fence.gates.ipe:0, Ipe Fence Gate
forestry:fence.gates.fireproof.ipe:0, Ipe Fence Gate (Fireproof)
forestry:fence.gates.padauk:0, Padauk Fence Gate
forestry:fence.gates.fireproof.padauk:0, Padauk Fence Gate (Fireproof)
forestry:fence.gates.cocobolo:0, Cocobolo Fence Gate
forestry:fence.gates.fireproof.cocobolo:0, Cocobolo Fence Gate (Fireproof)
forestry:fence.gates.zebrawood:0, Zebrawood Fence Gate
forestry:fence.gates.fireproof.zebrawood:0, Zebrawood Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.oak:0, Oak Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.spruce:0, Spruce Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.birch:0, Birch Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.jungle:0, Jungle Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.acacia:0, Acacia Fence Gate (Fireproof)
forestry:fence.gates.vanilla.fireproof.dark_oak:0, Dark Oak Fence Gate (Fireproof)
forestry:stairs.larch:0, Larch Stairs
forestry:stairs.teak:0, Teak Stairs
forestry:stairs.acacia:0, Desert Acacia Stairs
forestry:stairs.lime:0, Lime Stairs
forestry:stairs.chestnut:0, Chestnut Stairs
forestry:stairs.wenge:0, Wenge Stairs
forestry:stairs.baobab:0, Baobab Stairs
forestry:stairs.sequoia:0, Sequoia Stairs
forestry:stairs.kapok:0, Kapok Stairs
forestry:stairs.ebony:0, Ebony Stairs
forestry:stairs.mahogany:0, Mahogany Stairs
forestry:stairs.balsa:0, Balsa Stairs
forestry:stairs.willow:0, Willow Stairs
forestry:stairs.walnut:0, Walnut Stairs
forestry:stairs.greenheart:0, Greenheart Stairs
forestry:stairs.cherry:0, Cherry Stairs
forestry:stairs.mahoe:0, Mahoe Stairs
forestry:stairs.poplar:0, Poplar Stairs
forestry:stairs.palm:0, Palm Stairs
forestry:stairs.papaya:0, Papaya Stairs
forestry:stairs.pine:0, Pine Stairs
forestry:stairs.plum:0, Plum Stairs
forestry:stairs.maple:0, Maple Stairs
forestry:stairs.citrus:0, Citrus Stairs
forestry:stairs.giganteum:0, Giant Sequoia Stairs
forestry:stairs.ipe:0, Ipe Stairs
forestry:stairs.padauk:0, Padauk Stairs
forestry:stairs.cocobolo:0, Cocobolo Stairs
forestry:stairs.zebrawood:0, Zebrawood Stairs
forestry:stairs.fireproof.larch:0, Larch Stairs (Fireproof)
forestry:stairs.fireproof.teak:0, Teak Stairs (Fireproof)
forestry:stairs.fireproof.acacia:0, Desert Acacia Stairs (Fireproof)
forestry:stairs.fireproof.lime:0, Lime Stairs (Fireproof)
forestry:stairs.fireproof.chestnut:0, Chestnut Stairs (Fireproof)
forestry:stairs.fireproof.wenge:0, Wenge Stairs (Fireproof)
forestry:stairs.fireproof.baobab:0, Baobab Stairs (Fireproof)
forestry:stairs.fireproof.sequoia:0, Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.kapok:0, Kapok Stairs (Fireproof)
forestry:stairs.fireproof.ebony:0, Ebony Stairs (Fireproof)
forestry:stairs.fireproof.mahogany:0, Mahogany Stairs (Fireproof)
forestry:stairs.fireproof.balsa:0, Balsa Stairs (Fireproof)
forestry:stairs.fireproof.willow:0, Willow Stairs (Fireproof)
forestry:stairs.fireproof.walnut:0, Walnut Stairs (Fireproof)
forestry:stairs.fireproof.greenheart:0, Greenheart Stairs (Fireproof)
forestry:stairs.fireproof.cherry:0, Cherry Stairs (Fireproof)
forestry:stairs.fireproof.mahoe:0, Mahoe Stairs (Fireproof)
forestry:stairs.fireproof.poplar:0, Poplar Stairs (Fireproof)
forestry:stairs.fireproof.palm:0, Palm Stairs (Fireproof)
forestry:stairs.fireproof.papaya:0, Papaya Stairs (Fireproof)
forestry:stairs.fireproof.pine:0, Pine Stairs (Fireproof)
forestry:stairs.fireproof.plum:0, Plum Stairs (Fireproof)
forestry:stairs.fireproof.maple:0, Maple Stairs (Fireproof)
forestry:stairs.fireproof.citrus:0, Citrus Stairs (Fireproof)
forestry:stairs.fireproof.giganteum:0, Giant Sequoia Stairs (Fireproof)
forestry:stairs.fireproof.ipe:0, Ipe Stairs (Fireproof)
forestry:stairs.fireproof.padauk:0, Padauk Stairs (Fireproof)
forestry:stairs.fireproof.cocobolo:0, Cocobolo Stairs (Fireproof)
forestry:stairs.fireproof.zebrawood:0, Zebrawood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.oak:0, Oak Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.spruce:0, Spruce Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.birch:0, Birch Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.jungle:0, Jungle Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.acacia:0, Acacia Wood Stairs (Fireproof)
forestry:stairs.vanilla.fireproof.dark_oak:0, Dark Oak Wood Stairs (Fireproof)
forestry:doors.larch:0, Larch Door
forestry:doors.teak:0, Teak Door
forestry:doors.acacia:0, Desert Acacia Door
forestry:doors.lime:0, Lime Door
forestry:doors.chestnut:0, Chestnut Door
forestry:doors.wenge:0, Wenge Door
forestry:doors.baobab:0, Baobab Door
forestry:doors.sequoia:0, Sequoia Door
forestry:doors.kapok:0, Kapok Door
forestry:doors.ebony:0, Ebony Door
forestry:doors.mahogany:0, Mahogany Door
forestry:doors.balsa:0, Balsa Door
forestry:doors.willow:0, Willow Door
forestry:doors.walnut:0, Walnut Door
forestry:doors.greenheart:0, Greenheart Door
forestry:doors.cherry:0, Cherry Door
forestry:doors.mahoe:0, Mahoe Door
forestry:doors.poplar:0, Poplar Door
forestry:doors.palm:0, Palm Door
forestry:doors.papaya:0, Papaya Door
forestry:doors.pine:0, Pine Door
forestry:doors.plum:0, Plum Door
forestry:doors.maple:0, Maple Door
forestry:doors.citrus:0, Citrus Door
forestry:doors.giganteum:0, Giant Sequoia Door
forestry:doors.ipe:0, Ipe Door
forestry:doors.padauk:0, Padauk Door
forestry:doors.cocobolo:0, Cocobolo Door
forestry:doors.zebrawood:0, Zebrawood Door
forestry:sapling_ge:0, tile.for.sapling_ge.name
forestry:leaves.decorative.0:0, Apple Oak Leaves
forestry:leaves.decorative.0:1, Dark Oak Leaves
forestry:leaves.decorative.0:2, Silver Birch Leaves
forestry:leaves.decorative.0:3, Silver Lime Leaves
forestry:leaves.decorative.0:4, Common Walnut Leaves
forestry:leaves.decorative.0:5, Sweet Chestnut Leaves
forestry:leaves.decorative.0:6, Hill Cherry Leaves
forestry:leaves.decorative.0:7, Lemon Leaves
forestry:leaves.decorative.0:8, Plum Leaves
forestry:leaves.decorative.0:9, Sugar Maple Leaves
forestry:leaves.decorative.0:10, Red Spruce Leaves
forestry:leaves.decorative.0:11, Mundane Larch Leaves
forestry:leaves.decorative.0:12, Bull Pine Leaves
forestry:leaves.decorative.0:13, Coast Sequoia Leaves
forestry:leaves.decorative.0:14, Giant Sequoia Leaves
forestry:leaves.decorative.0:15, Jungle Leaves
forestry:leaves.decorative.1:0, Teak Leaves
forestry:leaves.decorative.1:1, Ipe Leaves
forestry:leaves.decorative.1:2, Kapok Leaves
forestry:leaves.decorative.1:3, Myrtle Ebony Leaves
forestry:leaves.decorative.1:4, Zebrawood Leaves
forestry:leaves.decorative.1:5, Yellow Meranti Leaves
forestry:leaves.decorative.1:6, Acacia Leaves
forestry:leaves.decorative.1:7, Desert Acacia Leaves
forestry:leaves.decorative.1:8, Padauk Leaves
forestry:leaves.decorative.1:9, Balsa Leaves
forestry:leaves.decorative.1:10, Cocobolo Leaves
forestry:leaves.decorative.1:11, Wenge Leaves
forestry:leaves.decorative.1:12, Grandidier's Baobab Leaves
forestry:leaves.decorative.1:13, Blue Mahoe Leaves
forestry:leaves.decorative.1:14, White Willow Leaves
forestry:leaves.decorative.1:15, Sipiri Leaves
forestry:leaves.decorative.2:0, Papaya Leaves
forestry:leaves.decorative.2:1, Date Palm Leaves
forestry:leaves.decorative.2:2, White Poplar Leaves
forestry:tree_chest:0, Arborist's Chest
forestry:habitat_former:0, Habitat Former
forestry:habitat_screen, Habitat Screen
forestry:arboretum:0, Arboretum (Managed)
forestry:arboretum:1, Arboretum (Manual)
forestry:farm_crops:0, Farm (Managed)
forestry:farm_crops:1, Farm (Manual)
forestry:farm_mushroom:0, Mushroom Farm (Managed)
forestry:farm_mushroom:1, Mushroom Farm (Manual)
forestry:farm_gourd:0, Gourd Farm (Managed)
forestry:farm_gourd:1, Gourd Farm (Manual)
forestry:farm_nether:0, Infernal Farm (Managed)
forestry:farm_nether:1, Infernal Farm (Manual)
forestry:farm_ender:0, Ender Farm (Managed)
forestry:farm_ender:1, Ender Farm (Manual)
forestry:peat_bog:0, Peat Bog (Managed)
forestry:peat_bog:1, Peat Bog (Manual)
forestry:crate, Crate
forestry:fluid.bio.ethanol, Ethanol
forestry:fluid.biomass, Biomass
forestry:fluid.glass, Liquid Glass
forestry:fluid.for.honey, Honey
forestry:fluid.ice, Crushed Ice
forestry:fluid.juice, Fruit Juice
forestry:fluid.milk, Milk
forestry:fluid.seed.oil, Seed Oil
forestry:fluid.short.mead, Short Mead
forestry:can, item.for.can.name
forestry:capsule, item.for.capsule.name
forestry:refractory, item.for.refractory.name
forestry:stamps:0, Stamp (1n)
forestry:stamps:1, Stamp (2n)
forestry:stamps:2, Stamp (5n)
forestry:stamps:3, Stamp (10n)
forestry:stamps:4, Stamp (20n)
forestry:stamps:5, Stamp (50n)
forestry:stamps:6, Stamp (100n)
forestry:letters, Letter
forestry:catalogue, Catalogue
forestry:mailbox:0, Mailbox
forestry:trade_station:0, Trade Station
forestry:stamp_collector:0, Stamp Collector
forestry:book_forester, Forester's Manual
forestry:bottler:0, Bottler
forestry:carpenter:0, Carpenter
forestry:centrifuge:0, Centrifuge
forestry:fermenter:0, Fermenter
forestry:moistener:0, Moistener
forestry:squeezer:0, Squeezer
forestry:still:0, Still
forestry:rainmaker:0, Rainmaker
forestry:fabricator:0, Thermionic Fabricator
forestry:raintank:0, Rain Tank
forestry:database:0, Database
forestry:genetic_filter:0, Genetic Filter
forestry:charcoal:0, Block of Charcoal
forestry:wood_pile:0, Wood Pile
forestry:wood_pile_decorative:0, Decorative Wood Pile
forestry:ash_block_0:0, Ash Block
forestry:ash_block_1:0, Ash Block
forestry:ash_block_2:0, Ash Block
forestry:ash_block_3:0, Ash Block
forestry:loam:0, Loam
forestry:engine_peat:0, Peat-fired Engine
forestry:engine_biogas:0, Biogas Engine
forestry:engine_clockwork:0, Clockwork Engine
forestry:worktable:0, Worktable
forestry:habitat_locator, Habitat Locator
forestry:imprinter, Imprinter
forestry:cart.beehouse:0, Minecart with Bee House
forestry:cart.beehouse:1, Minecart with Apiary
forestry:frame_untreated, Untreated Frame
forestry:frame_impregnated, Impregnated Frame
forestry:frame_proven, Proven Frame
forestry:honey_drop:0, Honey Drop
forestry:pollen:0, Pollen Cluster
forestry:pollen:1, Crystalline Pollen Cluster
forestry:propolis:0, Propolis
forestry:propolis:1, Sticky Propolis
forestry:propolis:3, Silky Propolis
forestry:honeydew, Honeydew
forestry:royal_jelly, Royal Jelly
forestry:wax_cast, Wax Cast
forestry:bee_combs:0, Honey Comb
forestry:bee_combs:2, Simmering Comb
forestry:bee_combs:3, Stringy Comb
forestry:bee_combs:4, Frozen Comb
forestry:bee_combs:5, Dripping Comb
forestry:bee_combs:6, Silky Comb
forestry:bee_combs:7, Parched Comb
forestry:bee_combs:15, Mossy Comb
forestry:bee_combs:16, Mellow Comb
forestry:apiarist_helmet, Apiarist's Hat
forestry:apiarist_chest, Apiarist's Shirt
forestry:apiarist_legs, Apiarist's Pants
forestry:apiarist_boots, Apiarist's Shoes
forestry:scoop, Scoop
forestry:smoker, Bee Smoker
forestry:apiary:0, Apiary
forestry:bee_house:0, Bee House
forestry:bee_chest:0, Apiarist's Chest
forestry:beehives:0, Forest Hive
forestry:beehives:1, Meadows Hive
forestry:beehives:2, Modest Hive
forestry:beehives:3, Tropical Hive
forestry:beehives:4, Ender Hive
forestry:beehives:5, Wintry Hive
forestry:beehives:6, Marshy Hive
forestry:candle:0, Unlit Candle
forestry:stump:0, Candle Stump
forestry:bee_combs_0:0, Honey Comb Block
forestry:bee_combs_0:2, Simmering Comb Block
forestry:bee_combs_0:3, Stringy Comb Block
forestry:bee_combs_0:4, Frozen Comb Block
forestry:bee_combs_0:5, Dripping Comb Block
forestry:bee_combs_0:6, Silky Comb Block
forestry:bee_combs_0:7, Parched Comb Block
forestry:bee_combs_0:15, Mossy Comb Block
forestry:bee_combs_1:0, Mellow Comb Block
forestry:alveary.plain:0, Alveary
forestry:alveary.swarmer:0, Alveary Swarmer
forestry:alveary.fan:0, Alveary Fan
forestry:alveary.heater:0, Alveary Heater
forestry:alveary.hygro:0, Alveary Hygroregulator
forestry:alveary.stabiliser:0, Alveary Stabiliser
forestry:alveary.sieve:0, Alveary Sieve
forestry:butterfly_chest:0, Lepidopterist's Chest
forestry:cocoon:0, tile.for.cocoon.name
forestry:cocoon.solid:0, tile.for.cocoon.solid.name
enderstorage:ender_storage:0, Ender Chest
enderstorage:ender_storage:1, Ender Tank
enderstorage:ender_pouch, Ender Pouch
zollerngalaxy:heartofzol, Zollus Heartium
zollerngalaxy:zolluscrystal, Zolnium Crystal
zollerngalaxy:kriffoncrystal, Kriffon Crystal
zollerngalaxy:purgotcrystal, Purgot Crystal
zollerngalaxy:edencrystal, Eden's Crystal
zollerngalaxy:purgotessence, Oasis Gem
zollerngalaxy:prometheancrystal, Promethean Crystal
zollerngalaxy:plutoniumcrystal, Plutonium Crystal
zollerngalaxy:azurite, Azurite
zollerngalaxy:ascendium, Ascendium
zollerngalaxy:rokkite, Rokkite
zollerngalaxy:stormcrystalgem, Storm Crystal Gem
zollerngalaxy:brightstonedust, Britestone Dust
zollerngalaxy:shinestonedust, Shinestone Dust
zollerngalaxy:rawviri, Raw Virinium
zollerngalaxy:eveniumdust, Pulverized Evenium
zollerngalaxy:cobaltdust, Pulverized Cobalt
zollerngalaxy:fueltoniumraw, Raw Fuelonite
zollerngalaxy:shiniumdust, Shinium Dust
zollerngalaxy:chargiumdust, Chargium Blend
zollerngalaxy:diamonddust, Pulverized Diamond
zollerngalaxy:emeralddust, Pulverized Emerald
zollerngalaxy:amaranthdust, Amaranth Dust
zollerngalaxy:zollerniumdust, Zollernium Dust
zollerngalaxy:zincdust, Zinc Dust
zollerngalaxy:zucritedust, Zucrite Dust
zollerngalaxy:rhodiumdust, Rhodium Dust
zollerngalaxy:ingotviri, Virinium Ingot
zollerngalaxy:ingotcobalt, Cobalt Ingot
zollerngalaxy:ingotevenium, Evenium Ingot
zollerngalaxy:shinestoneingot, Shinestone Ingot
zollerngalaxy:shiniumingot, Shinium Ingot
zollerngalaxy:chargiumingot, Chargium Ingot
zollerngalaxy:fueltoniumingot, Fueltonium Ingot
zollerngalaxy:lapisingot, Lapis Ingot
zollerngalaxy:amaranthingot, Amaranth Ingot
zollerngalaxy:ascendantamaranthingot, Ascendant Amaranth Ingot
zollerngalaxy:zollerniumingot, Zollernium Ingot
zollerngalaxy:zincingot, Zinc Ingot
zollerngalaxy:etriumingot, Etrium Ingot
zollerngalaxy:zucriteingot, Zucrite Ingot
zollerngalaxy:rhodiumingot, Rhodium Ingot
zollerngalaxy:radiumingot, Radium Ingot
zollerngalaxy:hud, Galactic HUD
zollerngalaxy:alienstone, Ancient Eden's Essence
zollerngalaxy:compressedcobalt, Compressed Cobalt
zollerngalaxy:compresseddiamond, Compressed Diamond
zollerngalaxy:compressedemerald, Compressed Emerald
zollerngalaxy:compressedevenium, Compressed Evenium
zollerngalaxy:compressedgold, Compressed Gold
zollerngalaxy:compressedheartium, Compressed Heartium
zollerngalaxy:compressedkriffonium, Compressed Kriffonium
zollerngalaxy:compressedvirinium, Compressed Virinium
zollerngalaxy:compressedvyrex, Compressed Vyrexite
zollerngalaxy:compressedpromethean, Compressed Promethean
zollerngalaxy:compressedsuperchargedcoal, Compressed Super Charged Coal
zollerngalaxy:compressedriven, Compressed Riven
zollerngalaxy:compressedamaranth, Compressed Amaranth
zollerngalaxy:compressedazurite, Compressed Azurite
zollerngalaxy:compressedzollernium, Compressed Zollernium
zollerngalaxy:compressedzucrite, Compressed Zucrite
zollerngalaxy:compressedrhodium, Compressed Rhodium
zollerngalaxy:compressedascendantamaranth, Compressed Ascendant Amaranth
zollerngalaxy:alienbaconraw, Raw Alien Bacon
zollerngalaxy:alienbaconcooked, Cooked Alien Bacon
zollerngalaxy:alienbeefraw, Raw Alien Beef
zollerngalaxy:alienbeefcooked, Cooked Alien Beef
zollerngalaxy:fruitofeden, Fruit of Eden
zollerngalaxy:perdberry, Lost Berry
zollerngalaxy:perdpeach, Lost Peach
zollerngalaxy:rawblubberfish, Raw Blubber Fish
zollerngalaxy:cookedblubberfish, Cooked Blubber Fish
zollerngalaxy:rawbladefish, Raw Blade Fish
zollerngalaxy:cookedbladefish, Cooked Blade Fish
zollerngalaxy:rawgypsyfish, Raw Gypsy Fish
zollerngalaxy:cookedgypsyfish, Cooked Gypsy Fish
zollerngalaxy:creamball, Cream Ball
zollerngalaxy:rawchocolate, Raw Chocolate
zollerngalaxy:chocolatebar, Chocolate Bar
zollerngalaxy:brownie, Brownie
zollerngalaxy:candyapple, Candy Apple
zollerngalaxy:icecreamsandwich, Ice Cream Sandwich
zollerngalaxy:icecream, Ice Cream
zollerngalaxy:edendungeonkey, Eden's Treasure Key
zollerngalaxy:shadekey, Shade Key
zollerngalaxy:perdglowstonedust, Lost Glowdust
zollerngalaxy:perddiamond, Lost Diamond
zollerngalaxy:etrium, Raw Etrium
zollerngalaxy:amber, Amber
zollerngalaxy:topaz, Topaz
zollerngalaxy:opal, Opal
zollerngalaxy:aquamarine, Aquamarine
zollerngalaxy:garnet, Garnet
zollerngalaxy:ruby, Ruby
zollerngalaxy:staticamber, Static Amber
zollerngalaxy:icyaqua, Icy Aquamarine
zollerngalaxy:firegarnet, Fiery Garnet
zollerngalaxy:witherite, Witherite
zollerngalaxy:netheridium, Netheridium
zollerngalaxy:perdreed, Lost Bamboo Plant
zollerngalaxy:shagreen, Shagreen
zollerngalaxy:sharktooth, Shark Tooth
zollerngalaxy:shadowbone, Shadow Bone
zollerngalaxy:shadowessence, Dark Matter Essence
zollerngalaxy:radium, Radium
zollerngalaxy:superchargedcoal, Super Charged Coal
zollerngalaxy:powerstick, Rod of Ascension
zollerngalaxy:lapisstick, Lapis Stick
zollerngalaxy:stargate_tier1, Stargate (Protocol One)
zollerngalaxy:stargate_tier2, Stargate (Protocol Two)
zollerngalaxy:stargate_tier3, Stargate (Protocol Three)
zollerngalaxy:stargate_tier4, Stargate (Protocol Four)
zollerngalaxy:stargate_tier5, Stargate (Protocol Five)
zollerngalaxy:stargate_tier6, Stargate (Protocol Six)
zollerngalaxy:stargate_tier7, Stargate (Protocol Seven)
zollerngalaxy:stargate_tier8, Stargate (Protocol Eight)
zollerngalaxy:stargate_tier9, Stargate (Protocol Nine)
zollerngalaxy:stargate_tier10, Stargate (Protocol Ten)
zollerngalaxy:stargate_tier918, Stargate (Birthday Protocol)
zollerngalaxy:omnitool, Omnitool
zollerngalaxy:bedrockbreaker, Bedrock Breaker
zollerngalaxy:cobalt_pickaxe, Cobalt Pickaxe
zollerngalaxy:evenium_pickaxe, Evenium Pickaxe
zollerngalaxy:virinium_pickaxe, Virinium Pickaxe
zollerngalaxy:amaranth_pickaxe, Amaranth Pickaxe
zollerngalaxy:azurite_pickaxe, Azurite Pickaxe
zollerngalaxy:zollernium_pickaxe, Zollernium Pickaxe
zollerngalaxy:cobalt_shovel, Cobalt Shovel
zollerngalaxy:evenium_shovel, Evenium Shovel
zollerngalaxy:virinium_shovel, Virinium Shovel
zollerngalaxy:amaranth_shovel, Amaranth Shovel
zollerngalaxy:azurite_shovel, Azurite Shovel
zollerngalaxy:zollernium_shovel, Zollernium Shovel
zollerngalaxy:cobalt_axe, Cobalt Axe
zollerngalaxy:evenium_axe, Evenium Axe
zollerngalaxy:virinium_axe, Virinium Axe
zollerngalaxy:amaranth_axe, Amaranth Axe
zollerngalaxy:azurite_axe, Azurite Axe
zollerngalaxy:zollernium_axe, Zollernium Axe
zollerngalaxy:cobalt_hoe, Cobalt Hoe
zollerngalaxy:evenium_hoe, Evenium Hoe
zollerngalaxy:virinium_hoe, Virinium Hoe
zollerngalaxy:amaranth_hoe, Amaranth Hoe
zollerngalaxy:azurite_hoe, Azurite Hoe
zollerngalaxy:zollernium_hoe, Zollernium Hoe
zollerngalaxy:cobalt_sword, Cobalt Sword
zollerngalaxy:evenium_sword, Evenium Sword
zollerngalaxy:virinium_sword, Virinium Sword
zollerngalaxy:amaranth_sword, Amaranth Sword
zollerngalaxy:azurite_sword, Azurite Sword
zollerngalaxy:zollernium_sword, Zollernium Sword
zollerngalaxy:wither_sword, Mortem
zollerngalaxy:fire_sword, Diablo
zollerngalaxy:thor_sword, Thor
zollerngalaxy:ender_sword, Ender
zollerngalaxy:ice_sword, Glacies
zollerngalaxy:light_sword, Archangel
zollerngalaxy:copper_tunneler, Copper Cave Tunneler
zollerngalaxy:gold_tunneler, Gold Cave Tunneler
zollerngalaxy:amaranth_tunneler, Amaranth Tunneler
zollerngalaxy:amaranthhelmet, Amaranth Helmet
zollerngalaxy:zollerniumhelmet, Zollernium Helmet
zollerngalaxy:azuritehelmet, Azurite Helmet
zollerngalaxy:radiumhelmet, Radium Helmet
zollerngalaxy:amaranthchestplate, Amaranth Chestplate
zollerngalaxy:zollerniumchestplate, Zollernium Chestplate
zollerngalaxy:azuritechestplate, Azurite Chestplate
zollerngalaxy:radiumchestplate, Radium Chestplate
zollerngalaxy:amaranthleggings, Amaranth Leggings
zollerngalaxy:zollerniumleggings, Zollernium Leggings
zollerngalaxy:azuriteleggings, Azurite Leggings
zollerngalaxy:radiumleggings, Radium Leggings
zollerngalaxy:amaranthboots, Amaranth Boots
zollerngalaxy:zollerniumboots, Zollernium Boots
zollerngalaxy:azuriteboots, Azurite Boots
zollerngalaxy:radiumboots, Radium Boots
zollerngalaxy:blueprint_corruption, Corruption Protection
zollerngalaxy:blueprint_scorch, Scorch Protection
zollerngalaxy:blueprint_freeze, Freeze Protection
zollerngalaxy:heart, Healing Heart
zollerngalaxy:heartforce, Max Heartforce
zollerngalaxy:storm_amulet, Storm Amulet
zollerngalaxy:oxygentank_tier4, Oxygen Tank (Tier 4)
zollerngalaxy:oxygentank_tier5, Oxygen Tank (Tier 5)
zollerngalaxy:oxygentank_tier6, Oxygen Tank (Tier 6)
zollerngalaxy:lovetreesapling, Lovetree Sapling
zollerngalaxy:goldenwoodsapling, Goldenwood Sapling
zollerngalaxy:paradisewoodsapling, Paradise Tree Sapling
zollerngalaxy:edentreesapling, Edenwood Sapling
zollerngalaxy:edenfruit, Eden's Indigo Fruit
zollerngalaxy:edenflower, Eden's Flower
zollerngalaxy:edenflower_black, Eden's Black Flower
zollerngalaxy:edenflower_blue, Eden's Blue Flower
zollerngalaxy:edenflower_cyan, Eden's Cyan Flower
zollerngalaxy:edenflower_green, Eden's Green Flower
zollerngalaxy:edenflower_orange, Eden's Orange Flower
zollerngalaxy:edenflower_pink, Eden's Pink Flower
zollerngalaxy:edenflower_purple, Eden's Purple Flower
zollerngalaxy:edenflower_red, Eden's Red Flower
zollerngalaxy:edenflower_yellow, Eden's Yellow Flower
zollerngalaxy:edenflower_white, Eden's White Flower
zollerngalaxy:oasisflower, Oasis Flower
zollerngalaxy:aster, Galaxy Aster
zollerngalaxy:zolstone, Zolstone
zollerngalaxy:zolcobblerock, Zolrock Cobblestone
zollerngalaxy:zolsurfacerock, Zolrock
zollerngalaxy:zoldirt, Zollus Dirt
zollerngalaxy:zolrockbricks, Zollus Rock Bricks
zollerngalaxy:zolcoalore, Zollus Coal Ore
zollerngalaxy:zolcopperore, Zollus Copper Ore
zollerngalaxy:zolgoldore, Zollus Gold Ore
zollerngalaxy:zolheartore, Zollus Heartium Ore
zollerngalaxy:zoltinore, Zollus Tin Ore
zollerngalaxy:zolironore, Zollus Iron Ore
zollerngalaxy:zolcrystals, Zolnium Crystals
zollerngalaxy:kriffrock, Kriffrock
zollerngalaxy:kriffstone, Kriffstone
zollerngalaxy:kriffcobblerock, Kriffon Cobblerock
zollerngalaxy:kriffdirt, Kriffon Dirt
zollerngalaxy:kriffrockbricks, Kriffon Rock Bricks
zollerngalaxy:magmarock, Magrock
zollerngalaxy:blazerock, Blazerock
zollerngalaxy:kriffcoalore, Kriffon Coal Ore
zollerngalaxy:kriffcopperore, Kriffon Copper Ore
zollerngalaxy:kriffironore, Kriffon Iron Ore
zollerngalaxy:kriffgoldore, Kriffon Gold Ore
zollerngalaxy:kriffredstoneore, Kriffon Redstone Ore
zollerngalaxy:kriffcobaltore, Kriffon Cobalt Ore
zollerngalaxy:purgcobblerock, Purgot Cobblerock
zollerngalaxy:purgstone, Purgot Stone
zollerngalaxy:purgrockbricks, Purgot Rock Bricks
zollerngalaxy:whiterock, Whiterock
zollerngalaxy:blackrock, Blackrock
zollerngalaxy:purgrock, Purgot Rock
zollerngalaxy:purgdirt, Purgot Dirt
zollerngalaxy:purggravel, Purgot Gravel
zollerngalaxy:purgmeteoricironore, Purgot Meteoric Iron Ore
zollerngalaxy:purgcobaltore, Purgot Cobalt Ore
zollerngalaxy:purgironore, Purgot Iron Ore
zollerngalaxy:purggoldore, Purgot Gold Ore
zollerngalaxy:purgcopperore, Purgot Copper Ore
zollerngalaxy:purgdiamondore, Purgot Diamond Ore
zollerngalaxy:purgemeraldore, Purgot Emerald Ore
zollerngalaxy:purgeveniumore, Purgot Evenium Ore
zollerngalaxy:purgaluminumore, Purgot Aluminum Ore
zollerngalaxy:purgtinore, Purgot Tin Ore
zollerngalaxy:purgleadore, Purgot Lead Ore
zollerngalaxy:purgredstoneore, Purgot Redstone Ore
zollerngalaxy:edensurfacerock, Eden's Greenrock
zollerngalaxy:edentallgrass, Eden's Tall Grass
zollerngalaxy:edengrass, Eden's Grass
zollerngalaxy:edensoil, Eden's Soil
zollerngalaxy:edenrock, Edenrock Stone
zollerngalaxy:edensacredstone, Eden's Sacred Stone
zollerngalaxy:edencobblerock, Edenrock Cobblestone
zollerngalaxy:edenrockbricks, Edenrock Bricks
zollerngalaxy:edengoldengrass, Eden's Golden Grass
zollerngalaxy:edengrass_autumn, Eden's Paradise Grass
zollerngalaxy:edenswampgrass, Eden's Swamp Grass
zollerngalaxy:edengrass_snow, Eden's Snowy Grass
zollerngalaxy:edenwinterrock, Eden's Snowrock
zollerngalaxy:bloodsand, Eden's Blood Sand
zollerngalaxy:bloodstone, Eden's Bloodstone
zollerngalaxy:bonestone, Eden's Bone Stone
zollerngalaxy:edengravel, Eden's Gravel
zollerngalaxy:brightstone, Eden's Britestone
zollerngalaxy:edenwoodlog, Edenwood Log
zollerngalaxy:edenwoodleaves, Edenwood Leaves
zollerngalaxy:edenwoodplanks, Edenwood Planks
zollerngalaxy:paradisewoodlog, Paradise Tree Log
zollerngalaxy:paradisewoodleaves, Paradise Tree Leaves
zollerngalaxy:paradisewoodplanks, Paradise Tree Planks
zollerngalaxy:goldenwoodlog, Goldenwood Log
zollerngalaxy:goldenwoodleaves, Goldenwood Leaves
zollerngalaxy:goldenwoodplanks, Goldenwood Planks
zollerngalaxy:lovetreelog, Lovetree Log
zollerngalaxy:lovetreeleaves, Lovetree Leaves
zollerngalaxy:lovetreeplanks, Lovetree Planks
zollerngalaxy:edendungeonbricks, Eden's Sacred Bricks
